,brand,key,name,rating,rating_count,CONTAINS_CHOCOLATE
0,bj,0_bj,Salted Caramel Core,3.7,208,False
1,bj,1_bj,Netflix & Chilll'd™,4.0,127,False
2,bj,2_bj,Chip Happens,4.7,130,False
3,bj,3_bj,Cannoli,3.6,70,False
4,bj,4_bj,Gimme S’more!™,4.5,281,False
5,bj,5_bj,Peanut Butter Half Baked®,4.9,14,True
6,bj,6_bj,Berry Sweet Mascarpone,4.6,10,False
7,bj,7_bj,Chocolate Peanut Butter Split,5.0,7,False
8,bj,8_bj,Justice ReMix'd ™,4.3,110,False
9,bj,9_bj,Boots on the Moooo’n™,4.7,42,False
10,bj,10_bj,Americone Dream®,4.7,370,False
11,bj,11_bj,Bourbon Pecan Pie,4.6,9,False
12,bj,12_bj,Brewed to Matter™,4.7,35,True
13,bj,13_bj,Caramel Chocolate Cheesecake,4.0,133,False
14,bj,14_bj,Cherry Garcia®,4.4,153,False
15,bj,15_bj,Chillin' the Roast™,3.3,172,True
16,bj,16_bj,Chocolate Chip Cookie Dough,4.6,983,True
17,bj,17_bj,Chocolate Fudge Brownie,3.4,204,False
18,bj,18_bj,Chocolate Shake It™,3.9,111,False
19,bj,19_bj,Chocolate Therapy®,4.8,72,True
20,bj,20_bj,Chubby Hubby®,4.3,118,True
21,bj,21_bj,Chunky Monkey®,4.4,108,False
22,bj,22_bj,Cinnamon Buns®,4.6,83,False
23,bj,23_bj,Coffee Coffee BuzzBuzzBuzz!®,4.9,47,False
24,bj,24_bj,Coffee Toffee Bar Crunch,2.9,302,False
25,bj,25_bj,Cold Brew Caramel Latte,4.6,10,False
26,bj,26_bj,Everything But The...®,3.8,72,False
27,bj,27_bj,Glampfire Trail Mix™,4.7,68,False
28,bj,28_bj,Half Baked®,4.7,887,True
29,bj,29_bj,Ice Cream Sammie,5.0,31,False
30,bj,30_bj,Milk & Cookies,4.7,104,True
31,bj,31_bj,Mint Chocolate Cookie,4.4,141,False
32,bj,32_bj,Minter Wonderland™,4.7,32,False
33,bj,33_bj,New York Super Fudge Chunk®,4.9,63,False
34,bj,34_bj,Oat of This Swirled™,4.5,255,False
35,bj,35_bj,Peanut Butter Cup,4.4,41,False
36,bj,36_bj,Peanut Butter World®,4.9,69,False
37,bj,37_bj,Phish Food®,4.8,93,False
38,bj,38_bj,Pistachio Pistachio,4.0,80,False
39,bj,39_bj,Pumpkin Cheesecake,4.6,58,False
40,bj,40_bj,"Red, White & Blueberry",3.4,39,False
41,bj,41_bj,S'mores,4.1,151,False
42,bj,42_bj,Salted Caramel Almond,4.5,23,False
43,bj,43_bj,Strawberry Cheesecake,4.7,231,False
44,bj,44_bj,The Tonight Dough®,4.7,639,True
45,bj,45_bj,Triple Caramel Chunk®,4.3,16,False
46,bj,46_bj,Urban Bourbon™,4.2,181,False
47,bj,47_bj,Vanilla,4.7,10,False
48,bj,48_bj,Vanilla Caramel Fudge,4.8,29,True
49,bj,49_bj,Boom Chocolatta™ Cookie Core,4.6,97,True
50,bj,50_bj,Chocolate Chip Cookie Dough Core,1.8,166,True
51,bj,51_bj,Sweet Like Sugar Cookie Dough Core,4.8,123,False
52,bj,52_bj,"Wake & "" No Bake "" Cookie Dough Core",3.3,68,False
53,bj,53_bj,Brownie Batter Core,3.5,108,True
54,bj,54_bj,Cookies & Cream Cheesecake Core,4.4,57,False
55,bj,55_bj,Karamel Sutra® Core,4.2,94,False
56,bj,56_bj,Peanut Butter Fudge Core,4.7,19,False
57,hd,0_hd,White Chocolate Raspberry Truffle Ice Cream,4.9,168,False
58,hd,1_hd,Banana Peanut Butter Chip Ice Cream,4.7,80,False
59,hd,2_hd,Bourbon Praline Pecan Ice Cream,4.1,191,False
60,hd,3_hd,Bourbon Vanilla Bean Truffle Ice Cream,4.0,89,False
61,hd,4_hd,Butter Pecan Ice Cream,4.3,111,False
62,hd,5_hd,Caramel Soft Dipped Ice Cream Bar,4.9,8,False
63,hd,6_hd,Caramel Cone Ice Cream,4.7,185,False
64,hd,7_hd,Caramel Cone Ice Cream Bar,4.8,23,True
65,hd,8_hd,Cherry Vanilla Ice Cream,4.2,26,False
66,hd,9_hd,Chocolate Ice Cream,4.9,90,False
67,hd,10_hd,Chocolate Soft Dipped Ice Cream Bar,2.6,25,True
68,hd,11_hd,Chocolate Chip Cookie Dough Ice Cream,3.3,29,False
69,hd,12_hd,Chocolate Chocolate Chip Ice Cream,4.7,46,True
70,hd,13_hd,Chocolate Dark Chocolate Ice Cream Bar,4.5,22,True
71,hd,14_hd,Chocolate Fudge Non-Dairy Bar,5.0,22,True
72,hd,15_hd,Chocolate Peanut Butter Ice Cream,4.2,173,True
73,hd,16_hd,Chocolate Salted Fudge Truffle Non-Dairy,4.8,97,True
74,hd,17_hd,Chocolate Sea Salt Caramel HEAVEN Light Ice Cream,4.1,13,False
75,hd,18_hd,Coconut Caramel Non-Dairy,4.9,11,False
76,hd,19_hd,Coconut Caramel Chocolate TRIO CRISPY LAYERS,4.6,26,False
77,hd,20_hd,Coconut Caramel Dark Chocolate Non-Dairy Bar,4.6,31,True
78,hd,21_hd,Coffee Ice Cream,4.6,173,False
79,hd,22_hd,Coffee Almond Crunch Ice Cream Bar,4.3,42,True
80,hd,23_hd,Coffee Chip Ice Cream,3.1,111,False
81,hd,24_hd,Coffee Vanilla Chocolate TRIO CRISPY LAYERS,4.4,48,False
82,hd,25_hd,Cold Brew Espresso Chip HEAVEN Light Ice Cream,4.5,18,True
83,hd,26_hd,Cookies and Cream Ice Cream,4.6,23,True
84,hd,27_hd,Double Belgian Chocolate Chip Ice Cream,4.8,158,True
85,hd,28_hd,Dulce de Leche Cookie Squares,3.9,35,True
86,hd,29_hd,Dulce de Leche Ice Cream,4.8,209,False
87,hd,30_hd,Green Tea Ice Cream,4.2,109,False
88,hd,31_hd,Honey Salted Caramel Almond Ice Cream,5.0,103,False
89,hd,32_hd,Irish Cream Cookie Squares,4.9,14,True
90,hd,33_hd,Irish Cream Brownie Ice Cream,4.3,85,False
91,hd,34_hd,Lemon Sorbet,4.8,17,False
92,hd,35_hd,Lemon Raspberry White Chocolate TRIO CRISPY LAYERS,4.3,51,False
93,hd,36_hd,Mango Ice Cream,4.8,44,False
94,hd,37_hd,Mango Sorbet,4.6,20,False
95,hd,38_hd,Mint Chip Ice Cream,3.4,35,False
96,hd,39_hd,Peanut Butter Cookie Squares,4.4,14,True
97,hd,40_hd,Peanut Butter Chip HEAVEN Light Ice Cream,2.7,25,True
98,hd,41_hd,Peanut Butter Chocolate Fudge Non-Dairy,4.6,24,False
99,hd,42_hd,Peanut Butter Chocolate Fudge Non-Dairy Bar,4.8,32,True
100,hd,43_hd,Peppermint Bark Ice Cream,5.0,31,True
101,hd,44_hd,Peppermint Bark Ice Cream Bar,5.0,8,True
102,hd,45_hd,Pineapple Coconut Ice Cream,4.5,105,False
103,hd,46_hd,Pistachio Ice Cream,3.8,64,False
104,hd,47_hd,Raspberry Sorbet,4.5,14,False
105,hd,48_hd,Rocky Road Ice Cream,4.6,29,False
106,hd,49_hd,Rosé & Cream Ice Cream,4.4,23,False
107,hd,50_hd,Ruby Cacao Ice Cream Bar,3.5,31,True
108,hd,51_hd,Ruby Cacao Crackle Pistachio Sweet Cream TRIO CRISPY LAYERS,4.0,46,True
109,hd,52_hd,Rum Raisin Ice Cream,3.5,129,False
110,hd,53_hd,Rum Tres Leches Ice Cream,4.0,97,False
111,hd,54_hd,Salted Caramel Chocolate TRIO CRISPY LAYERS,3.4,55,False
112,hd,55_hd,Strawberry Ice Cream,4.8,108,False
113,hd,56_hd,Strawberry Waffle Cone HEAVEN Light Ice Cream,4.2,18,False
114,hd,57_hd,Triple Chocolate TRIO CRISPY LAYERS,3.9,52,False
115,hd,58_hd,Vanilla Cookie Squares,4.3,32,True
116,hd,59_hd,Vanilla Ice Cream,3.0,228,False
117,hd,60_hd,Vanilla Soft Dipped Ice Cream Bar,4.4,13,False
118,hd,61_hd,Vanilla Bean Ice Cream,4.5,115,False
119,hd,62_hd,Vanilla Blackberry Chocolate TRIO CRISPY LAYERS,4.3,74,False
120,hd,63_hd,Vanilla Caramel White Chocolate TRIO CRISPY LAYERS,5.0,32,False
121,hd,64_hd,Vanilla Chocolate Chip Ice Cream,4.5,46,True
122,hd,65_hd,Vanilla Milk Chocolate Ice Cream Bar,4.6,76,True
123,hd,66_hd,Vanilla Milk Chocolate Almond Ice Cream Bar,2.5,224,True
124,hd,67_hd,Vanilla Swiss Almond Ice Cream,4.3,129,True
125,hd,68_hd,Whiskey Hazelnut Latte Ice Cream,4.5,11,True
126,hd,69_hd,White Chocolate Raspberry Ice Cream Bar,3.9,11,True
127,talenti,0_talenti,ALPHONSO MANGO SORBETTO,4.7,139,False
128,talenti,1_talenti,BANANA CARAMEL CRUNCH,4.2,25,False
129,talenti,2_talenti,BELGIAN CHOCOLATE GELATO,4.8,27,True
130,talenti,3_talenti,BLACK RASPBERRY CHOCOLATE CHIP GELATO,4.0,105,True
131,talenti,4_talenti,BLACK RASPBERRY VANILLA PARFAIT,4.5,65,False
132,talenti,5_talenti,CARAMEL APPLE PIE GELATO,4.8,115,False
133,talenti,6_talenti,CARAMEL COOKIE CRUNCH GELATO,4.2,334,False
134,talenti,7_talenti,CARIBBEAN COCONUT GELATO,4.5,112,False
135,talenti,8_talenti,CHOCOLATE CHERRY CHEESECAKE,4.3,77,True
136,talenti,9_talenti,CHOCOLATE CHIP COOKIE DOUGH GELATO,2.8,104,True
137,talenti,10_talenti,CHOCOLATE PEANUT BUTTER CUP GELATO,4.4,77,True
138,talenti,11_talenti,COCONUT ALMOND CHOCOLATE GELATO,4.8,82,True
139,talenti,12_talenti,COCONUT CHOCOLATE COOKIE,4.3,29,True
140,talenti,13_talenti,COFFEE CHOCOLATE CHIP GELATO,4.5,108,True
141,talenti,14_talenti,COFFEE COOKIE CRUMBLE,4.4,26,True
142,talenti,15_talenti,COLD BREW COFFEE SORBETTO,4.5,131,False
143,talenti,16_talenti,DARK CHOCOLATE CHERRY,4.2,48,True
144,talenti,17_talenti,DARK CHOCOLATE SORBETTO,4.2,41,True
145,talenti,18_talenti,DOUBLE DARK CHOCOLATE GELATO,4.3,50,True
146,talenti,19_talenti,FUDGE BROWNIE GELATO,4.7,34,True
147,talenti,20_talenti,HAZELNUT CHOCOLATE CHIP GELATO,4.3,72,True
148,talenti,21_talenti,KEY LIME PIE GELATO,3.6,208,False
149,talenti,22_talenti,LEMON BERRY PIE,4.2,31,False
150,talenti,23_talenti,MADAGASCAN VANILLA BEAN GELATO,3.9,198,False
151,talenti,24_talenti,MEDITERRANEAN MINT GELATO,4.7,324,True
152,talenti,25_talenti,MINT FUDGE COOKIE,4.7,52,True
153,talenti,26_talenti,OLD WORLD EGGNOG GELATO,4.6,33,False
154,talenti,27_talenti,ORGANIC BROWN BUTTER CARAMEL,4.5,20,False
155,talenti,28_talenti,ORGANIC CHOCOLATE MOUSSE GELATO,4.3,13,True
156,talenti,29_talenti,ORGANIC GINGER MATCHA GELATO,4.7,21,False
157,talenti,30_talenti,ORGANIC OAK-AGED VANILLA GELATO,4.8,19,False
158,talenti,31_talenti,PACIFIC COAST PISTACHIO GELATO,4.5,201,False
159,talenti,32_talenti,PEANUT BUTTER FUDGE SORBETTO,4.7,77,True
160,talenti,33_talenti,PEANUT BUTTER VANILLA FUDGE,4.6,38,True
161,talenti,34_talenti,PEPPERMINT BARK GELATO,4.4,71,True
162,talenti,35_talenti,PUMPKIN PIE,4.6,63,False
163,talenti,36_talenti,RASPBERRY CHEESECAKE GELATO,3.9,76,False
164,talenti,37_talenti,ROMAN RASPBERRY SORBETTO,4.7,161,False
165,talenti,38_talenti,SALTED CARAMEL TRUFFLE,4.7,160,False
166,talenti,39_talenti,SEA SALT CARAMEL GELATO,4.1,146,False
167,talenti,40_talenti,SOUTHERN BUTTER PECAN GELATO,4.2,125,False
168,talenti,41_talenti,STRAWBERRY HIBISCUS SORBETTO,4.4,14,False
169,talenti,42_talenti,VANILLA BLUEBERRY CRUMBLE GELATO,3.9,70,False
170,talenti,43_talenti,VANILLA CARAMEL SWIRL GELATO,3.6,38,False
171,talenti,44_talenti,VANILLA FUDGE COOKIE,4.3,114,False
172,breyers,0_breyers,Natural Vanilla,4.1,467,False
173,breyers,1_breyers,Homemade Vanilla,4.4,98,False
174,breyers,2_breyers,Extra Creamy Vanilla,4.4,59,False
175,breyers,3_breyers,Chocolate,4.7,225,False
176,breyers,4_breyers,Natural Strawberry,4.5,123,False
177,breyers,5_breyers,Mint Chocolate Chip,4.0,154,False
178,breyers,6_breyers,Vanilla Chocolate Strawberry,4.5,74,False
179,breyers,7_breyers,Delights Creamy Chocolate,4.4,176,False
180,breyers,8_breyers,Delights Mint Chip,3.3,115,True
181,breyers,9_breyers,Delights Cookies & Cream,3.9,93,False
182,breyers,10_breyers,Delights Vanilla Bean,4.2,167,False
183,breyers,11_breyers,French Vanilla,4.5,101,False
184,breyers,12_breyers,CarbSmart™ Vanilla,4.0,157,False
185,breyers,13_breyers,Lactose Free Vanilla,3.9,60,False
186,breyers,14_breyers,No Sugar Added Vanilla,4.4,18,False
187,breyers,15_breyers,OREO®,4.2,216,True
188,breyers,16_breyers,OREO® & CHIPS AHOY!® 2in1,4.2,109,True
189,breyers,17_breyers,Vanilla Caramel,4.2,37,False
190,breyers,18_breyers,Vanilla Caramel Gelato Indulgences,4.5,85,False
191,breyers,19_breyers,Chocolate Mint,4.1,38,False
192,breyers,20_breyers,Peach,3.0,49,False
193,breyers,21_breyers,Vanilla Fudge Twirl,4.0,22,False
194,breyers,22_breyers,CarbSmart™ Chocolate,4.0,49,False
195,breyers,23_breyers,CarbSmart™ Peanut Butter,2.8,88,False
196,breyers,24_breyers,Lactose Free Chocolate,4.7,24,False
197,breyers,25_breyers,No Sugar Added Vanilla Chocolate Strawberry,4.3,34,False
198,breyers,26_breyers,Non-Dairy Vanilla Peanut Butter,4.8,116,False
199,breyers,27_breyers,Raspberry Cheesecake Gelato Indulgences,4.5,28,False
200,breyers,28_breyers,REESE'S,3.9,156,True
201,breyers,29_breyers,REESE'S & REESE'S PIECES 2in1,3.3,88,True
202,breyers,30_breyers,No Sugar Added Caramel Swirl,4.9,19,False
203,breyers,31_breyers,SNICKERS®,4.4,109,True
204,breyers,32_breyers,SNICKERS® & M&M'S® 2in1,3.9,52,True
205,breyers,33_breyers,CarbSmart™ Almond Bar,4.3,32,False
206,breyers,34_breyers,HEATH & Waffle Cone 2in1,3.3,54,True
207,breyers,35_breyers,No Sugar Added Butter Pecan,4.3,15,False
208,breyers,36_breyers,CarbSmart™ Vanilla Bar,4.2,24,False
209,breyers,37_breyers,HEATH,3.3,36,True
210,breyers,38_breyers,Butter Pecan,2.6,74,False
211,breyers,39_breyers,CarbSmart™ Fudge Bar,4.4,34,False
212,breyers,40_breyers,CarbSmart™ Mint Fudge Bar,4.6,20,False
213,breyers,41_breyers,OREO® Snack Cups 10ct,5.0,2,True
214,breyers,42_breyers,REESE'S Chocolate,4.2,142,True
215,breyers,43_breyers,Waffle Cone,3.6,20,True
216,breyers,44_breyers,Creamsicle,3.8,26,False
217,breyers,45_breyers,New York Style Cheesecake,3.3,36,False
218,breyers,46_breyers,Rocky Road,3.0,42,False
219,breyers,47_breyers,Cherry Vanilla,3.0,40,False
220,breyers,48_breyers,Cookies & Cream,4.1,22,False
221,breyers,49_breyers,Chocolate Chip Cookie Dough,1.2,89,True
222,breyers,50_breyers,Non-Dairy OREO® Cookies & Cream,4.5,157,True
223,breyers,51_breyers,Coffee,2.4,52,False
224,breyers,52_breyers,Vanilla Chocolate,4.6,95,False
225,breyers,53_breyers,Chocolate Chip,3.8,30,False
226,breyers,54_breyers,Extra Creamy Chocolate,3.1,13,False
227,breyers,55_breyers,Black Raspberry Chocolate,4.4,38,False
228,breyers,56_breyers,Chocolate Truffle,4.5,45,False
229,breyers,57_breyers,Salted Caramel,3.9,20,False
230,breyers,58_breyers,Ice Cream Cake,4.1,69,True
231,breyers,59_breyers,Coconut Fudge,4.4,19,True
232,breyers,60_breyers,Chocolate Peanut Butter,4.4,143,False
233,breyers,61_breyers,Natural Vanilla Snack Cups 10ct,4.6,28,False
234,breyers,62_breyers,Butterscotch Blondie,3.5,20,False
235,breyers,63_breyers,Chocolate Snack Cups 10ct,4.9,26,False
236,breyers,64_breyers,CINNABON®,4.0,28,False
237,breyers,65_breyers,CarbSmart™ Caramel Swirl Bar,4.7,18,False
238,breyers,66_breyers,Layered Dessert S'mores,2.5,31,False
239,breyers,67_breyers,Layered Dessert Peach Cobbler,3.2,38,False
240,breyers,68_breyers,Layered Dessert Brownie Cheesecake,2.8,25,False
